receptor,receptor_subunit,ligand,ligand_isoform,confidence,channel,GPCR,muscarinic,nicotinic,metabotropic,neuronal_expression,non_neuronal_expression
exp-1,,gaba,,1,1,0,0,0,0,"[""ADE"", ""PDA"", ""RID"", ""SABD""]","[""intestinal_muscle"", ""anal_depressor_muscle""]"
gab-1,,gaba,,1,1,0,0,0,0,"[""ALM"", ""AVM"", ""PLM""]",
gbb-1,,gaba,,1,0,1,0,0,1,,
gbb-2,,gaba,,1,0,1,0,0,1,,
ggr-1,,gaba,,1,1,0,0,0,0,"[""AIB"", ""AVH"", ""PVR"", ""PVQ"", ""SMDV""]","[""egg_laying_muscle""]"
ggr-2,,gaba,,1,1,0,0,0,0,"[""CAN"", ""DD"", ""HSN"", ""SIAV"", ""SMDV"", ""SMDD""]","[""egg_laying_muscle""]"
ggr-3,,gaba,,1,1,0,0,0,0,"[""AVA"", ""AVB"", ""DVA"", ""SIAD"", ""SMDD""]",
lgc-35,,gaba,,1,1,0,0,0,0,,
lgc-36,,gaba,,0,1,0,0,0,0,,
lgc-37,,gaba,,0,1,0,0,0,0,,
lgc-38,,gaba,,1,1,0,0,0,0,"[""AIY""]",
lgc-39,,gaba,,0,1,0,0,0,0,,
lgc-40,,gaba,,0,1,0,0,0,0,,
lgc-41,,gaba,,0,1,0,0,0,0,,
lgc-42,,gaba,,0,1,0,0,0,0,,
lgc-51,,gaba,,0,1,0,0,0,0,,
lgc-52,,gaba,,0,1,0,0,0,0,,
lgc-53,,gaba,,0,1,0,0,0,0,,
lgc-54,,gaba,,0,1,0,0,0,0,,
unc-49,"[""UNC-49A"", ""UNC-49B"", ""UNC-49C""]",gaba,,1,1,0,0,0,0,,"[""body_wall_muscle"", ""anal_sphincter_muscle""]"
avr-14,,glutamate,,1,1,0,0,0,0,,
avr-15,,glutamate,,1,1,0,0,0,0,"[""RMED"", ""RMEV"", ""RMG"", ""DA9"", ""VA12"", ""M3""]","[""pharyngeal_muscle""]"
glc-1,,glutamate,,1,1,0,0,0,0,,
glc-2,,glutamate,,1,1,0,0,0,0,,"[""pharyngeal_muscle""]"
glc-3,,glutamate,,1,1,0,0,0,0,"[""AIY"", ""AWC"", ""AIA""]",
glc-4,,glutamate,,1,1,0,0,0,0,,
glr-1,,glutamate,,1,1,0,0,0,0,"[""AVA"", ""AVB"", ""AVD"", ""AVE"", ""PVC"", ""AIB"", ""AVG"", ""PVQ"", ""RMD"", ""RIM"", ""SMD"", ""URY""]",
glr-2,,glutamate,,1,1,0,0,0,0,"[""AVA"", ""AVD"", ""AVE"", ""PVC"", ""AIA"", ""AIB"", ""AVG"", ""DVA"", ""M1"", ""RIA"", ""RIG"", ""RIR"", ""RMDV"", ""RMDD""]",
glr-3,,glutamate,,1,1,0,0,0,0,"[""RIA""]",
glr-4,,glutamate,,1,1,0,0,0,0,"[""AUA"", ""AVA"", ""AVH"", ""DVA"", ""DB"", ""FLP"", ""PVD"", ""PVU"", ""RIB"", ""RIF"", ""RIM"", ""RMD"", ""RMG"", ""SAA"", ""SAB"", ""SIB"", ""SMD"", ""URA"", ""URY""]",
glr-5,,glutamate,,1,1,0,0,0,0,"[""AIB"", ""AVA"", ""AVB"", ""AVD"", ""AVE"", ""AVK"", ""DVA"", ""HSN"", ""LUA"", ""PVC"", ""PVQ"", ""RIM"", ""RIC"", ""RIF"", ""RME"", ""RMD"", ""RMG"", ""SABVL"", ""SABVR"", ""SABD"", ""SIB"", ""SMD"", ""URA"", ""URB"", ""URY"", ""VC""]",
glr-6,,glutamate,,1,1,0,0,0,0,"[""RIA""]",
glr-7,,glutamate,,1,1,0,0,0,0,"[""I1"", ""I2"", ""I3"", ""I6"", ""MI"", ""NSM""]",
glr-8,,glutamate,,1,1,0,0,0,0,"[""ALM"", ""BDU"", ""I1"", ""I2"", ""I3"", ""I6"", ""MI"", ""M3"", ""M4"", ""M5"", ""MC"", ""NSM"", ""PLM"", ""URB""]",
mgl-1,,glutamate,,1,0,1,0,0,1,"[""AIA"", ""AIY"", ""RMDV"", ""RMDD"", ""NSM""]",
mgl-2,,glutamate,,1,0,1,0,0,1,,
mgl-3,,glutamate,,1,0,1,0,0,1,"[""NSM"", ""ADF"", ""ASE"", ""AWC"", ""RIB"", ""RIC"", ""BAG""]",
nmr-1,,glutamate,,1,1,0,0,0,0,"[""AVA"", ""AVD"", ""AVE"", ""AVG"", ""PVC"", ""RIM""]","[""oocytes"", ""sheath_cells""]"
nmr-2,,glutamate,,1,1,0,0,0,0,"[""AVA"", ""AVD"", ""AVE"", ""AVG"", ""PVC"", ""RIM""]",
stg-1,,glutamate,,0,0,0,0,0,0,"[""AVD"", ""AVE"", ""AVG"", ""PVC"", ""RIM""]",
stg-2,,glutamate,,0,0,0,0,0,0,"[""AVA"", ""AVD"", ""AVE"", ""AVG"", ""PVC"", ""RIM""]",
lgc-34,,glycine,,1,1,0,0,0,0,,
daf-2,,ins-1,,1,0,0,0,0,0,,"[""intestine"", ""gonad""]"
daf-2,,ins-7,,1,0,0,0,0,0,,"[""intestine"", ""gonad""]"
npr-11,,nlp-1,,1,0,1,0,0,0,"[""AIA"", ""AIY"", ""AWC""]",
ckr-2,,nlp-12,"[""NLP-12A"", ""NLP-12B""]",1,0,1,0,0,0,"[""AIY""]",
ckr-2,,nlp-13,,1,0,1,0,0,0,"[""AIY""]",
ckr-2,,nlp-14,,1,0,1,0,0,0,"[""AIY""]",
nmur-2,,nlp-44,,1,0,1,0,0,0,,
gnrr-1,"[""GNRR-1A""]",nlp-47,,1,0,1,0,0,0,,
ntr-1,,ntc-1,,1,0,1,0,0,0,,
octr-1,,octopamine,,1,0,1,0,0,0,"[""ASH"", ""ASI""]",
ser-3,,octopamine,,0.5,0,1,0,0,0,"[""SIA"", ""ASH"", ""PHA"", ""PHB"", ""PVQ""]","[""pharynx"", ""head_muscle"", ""phasmid_socket"", ""intestine"", ""spermatheca"", ""eggs"", ""gonad"", ""vulva""]"
ser-6,,octopamine,,1,0,1,0,0,0,"[""AWB"", ""ADL"", ""ASI""]","[""intestine""]"
tyra-3,,octopamine,,1,0,1,0,0,0,"[""CEP"", ""ADE""]","[""vulva""]"
pdfr-1,"[""PDFR-1A"", ""PDFR-1B"", ""PDFR-1C""]",pdf-1,"[""PDF-1A"", ""PDF-1B""]",1,0,1,0,0,0,"[""PHA"", ""PHB"", ""PLM"", ""ALM"", ""FLP"", ""OLQD"", ""OLQV"", ""RMED"", ""I1"", ""R3"", ""URY"", ""PQR""]","[""body_wall_muscle"", ""vulval_cells""]"
pdfr-1,"[""PDFR-1A"", ""PDFR-1B"", ""PDFR-1C""]",pdf-2,,1,0,1,0,0,0,"[""PHA"", ""PHB"", ""PLM"", ""ALM"", ""FLP"", ""OLQD"", ""OLQV"", ""RMED"", ""I1"", ""R3"", ""URY"", ""PQR""]","[""body_wall_muscle"", ""vulval_cells""]"
dop-5,,serotonin,,0.5,0,1,0,0,0,"[""ASE""]",
lgc-50,,serotonin,,1,1,0,0,0,0,,
