neuron,chemical_in_degree,chemical_out_degree,electrical_in_degree,electrical_out_degree
AS08,6,1,0,0
AS09,4,1,0,0
AS10,9,2,7,7
AS11,10,4,12,12
PDB,1,3,8,9
DD01,25,2,9,9
DD02,17,3,5,5
DD03,17,1,7,7
DD04,11,0,7,7
DD05,10,0,5,5
DD06,22,2,17,16
VA01,8,3,3,3
VA02,11,8,6,6
VA03,10,7,7,7
VA04,10,7,5,5
VA05,9,5,3,3
VA06,9,9,3,3
VA07,5,8,3,3
VA08,5,10,2,2
VA09,7,10,4,4
VA10,6,10,6,6
VA11,12,8,7,7
VA12,14,17,13,13
VB01,13,16,7,7
VB02,10,8,6,6
VB03,7,5,5,5
VB04,7,8,6,6
VB05,4,3,4,4
VB06,6,8,5,5
VB07,8,6,6,6
VB08,5,5,5,5
VB09,2,5,5,5
VB10,2,5,10,10
VB11,5,7,10,10
VD01,11,3,9,9
VD02,13,5,5,5
VD03,14,4,5,5
VD04,15,2,3,3
VD05,13,6,4,4
VD06,14,5,4,4
VD07,10,4,4,4
VD08,7,5,3,3
VD09,11,2,7,7
VD10,9,2,3,3
VD11,12,5,9,9
VD12,17,5,12,12
VD13,13,7,15,15
HSNL,16,25,8,8
HSNR,19,36,7,7
VC01,5,16,5,5
VC02,7,16,6,6
VC03,5,24,5,5
VC04,2,4,4,4
VC05,4,9,7,7
VC06,2,6,3,3
