DA06,unc-63,acr-2,lgc-35,gab-1,lgc-37,acr-14,gar-2,,,,,,
DA07,unc-63,acr-2,lgc-35,gab-1,lgc-37,acr-14,gar-2,,,,,,
DA08,unc-63,acr-2,glr-5,lgc-35,gab-1,lgc-37,acr-14,,,,,,
DA09,unc-63,acr-15,acr-2,glr-4,lgc-35,gab-1,lgc-37,avr-15,acr-14,,,,
DB01,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DB02,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DB03,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DB04,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DB05,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DB06,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DB07,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DD01,lev-8,,acr-14,acr-12,,,,,,,,,
DD02,lev-8,,acr-14,acr-12,,,,,,,,,
DD03,lev-8,,acr-14,acr-12,,,,,,,,,
DD04,lev-8,,acr-14,acr-12,,,,,,,,,
DD05,lev-8,,acr-14,acr-12,,,,,,,,,
DD06,lev-8,,acr-14,acr-12,,,,,,,,,
DVA,acr-15,ggr-2,glr-2,glr-4,glr-5,lgc-35,nmr-1,lgc-38,ggr-3,,,,
DVB,acr-12,,,,,,,,,,,,
DVC,glr-1,acr-2,acr-20,,,,,,,,,,
FLPL,des-2,glr-4,gab-1,lgc-37,deg-3,,,,,,,,
FLPR,des-2,glr-4,gab-1,lgc-37,deg-3,,,,,,,,
HSNL,acr-14,gar-2,ggr-2,glr-5,gab-1,lgc-37,,,,,,,
HSNR,acr-14,gar-2,ggr-2,glr-5,gab-1,lgc-37,,,,,,,
I1L,glr-7,glr-8,avr-15,,,,,,,,,,
I1R,glr-7,glr-8,avr-15,,,,,,,,,,
I2L,glr-7,glr-8,,,,,,,,,,,
I2R,glr-7,glr-8,,,,,,,,,,,
I3,,glr-7,glr-8,,,,,,,,,,
I4,,,,,,,,,,,,,
I5,acr-15,,,,,,,,,,,,
I6,glr-7,glr-8,,,,,,,,,,,
IL1DL,deg-3,acr-2,,,,,,,,,,,
IL1DR,deg-3,acr-2,,,,,,,,,,,
IL1L,deg-3,acr-2,,,,,,,,,,,
IL1R,deg-3,acr-2,,,,,,,,,,,
IL1VL,deg-3,acr-2,,,,,,,,,,,
IL1VR,deg-3,acr-2,,,,,,,,,,,
IL2DL,lgc-38,,,,,,,,,,,,
IL2DR,lgc-38,,,,,,,,,,,,
IL2L,lgc-38,,,,,,,,,,,,
IL2R,lgc-38,,,,,,,,,,,,
IL2VL,lgc-38,,,,,,,,,,,,
IL2VR,lgc-38,,,,,,,,,,,,
LUAL,glr-5,lgc-38,,,,,,,,,,,
LUAR,glr-5,lgc-38,,,,,,,,,,,
M1,glr-2,,,,,,,,,,,,
M2L,avr-15,,,,,,,,,,,,
M2R,avr-15,,,,,,,,,,,,
M3L,glr-8,lgc-38,,,,,,,,,,,
M3R,glr-8,lgc-38,,,,,,,,,,,
M4,glr-8,,,,,,,,,,,,
M5,glr-8,,,,,,,,,,,,
MCL,glr-8,lgc-38,,,,,,,,,,,
MCR,glr-8,,,,,,,,,,,,
MI,glr-7,glr-8,lgc-38,,,,,,,,,,
NSML,glr-7,glr-8,,,,,,,,,,,
NSMR,glr-7,glr-8,,,,,,,,,,,
OLLL,lgc-38,lgc-47,,,,,,,,,,,
OLLR,lgc-38,lgc-47,,,,,,,,,,,
OLQDL,lgc-38,,,,,,,,,,,,
OLQDR,lgc-38,,,,,,,,,,,,
OLQVL,lgc-38,,,,,,,,,,,,
OLQVR,lgc-38,,,,,,,,,,,,
PDA,exp-1,lgc-35,,,,,,,,,,,
PDB,,,,,,,,,,,,,
PDEL,avr-14,lgc-47,,,,,,,,,,,
PDER,avr-14,lgc-47,,,,,,,,,,,
PHAL,acc-2,,,,,,,,,,,,
PHAR,acc-2,,,,,,,,,,,,
PHBL,,,,,,,,,,,,,
PHBR,,,,,,,,,,,,,
PHCL,,,,,,,,,,,,,
PHCR,,,,,,,,,,,,,
PLML,acc-1,acr-23,deg-3,gab-1,glr-8,lgc-37,avr-14,des-2,,,,,
PLMR,acc-1,acr-23,deg-3,gab-1,glr-8,lgc-37,avr-14,des-2,,,,,
PLNL,lgc-38,,,,,,,,,,,,
PLNR,lgc-38,,,,,,,,,,,,
PQR,,,,,,,,,,,,,
PVCL,des-2,deg-3,glr-1,glr-2,glr-5,nmr-1,nmr-2,lgc-38,gab-1,lgc-37,,,
PVCR,des-2,deg-3,glr-1,glr-2,glr-5,nmr-1,nmr-2,lgc-38,gab-1,lgc-37,,,
PVDL,deg-3,des-2,glr-4,gab-1,lgc-37,avr-14,,,,,,,
PVDR,deg-3,des-2,glr-4,gab-1,lgc-37,avr-14,,,,,,,
PVM,acr-23,gab-1,,lgc-37,des-2,deg-3,,,,,,,
PVNL,,glr-2,deg-3,des-2,,,,,,,,,
PVNR,,glr-2,deg-3,des-2,,,,,,,,,
PVPL,,,,,,,,,,,,,
PVPR,,,,,,,,,,,,,
PVQL,acr-15,acr-2,ggr-1,glr-1,glr-5,,,,,,,,
PVQR,acr-15,acr-2,ggr-1,glr-1,glr-5,,,,,,,,
PVR,ggr-1,gab-1,lgc-37,,,,,,,,,,
PVT,lev-8,lgc-35,,,,,,,,,,,
PVWL,gab-1,lgc-37,,,,,,,,,,,
PVWR,gab-1,lgc-37,,,,,,,,,,,
RIAL,glr-2,glr-3,glr-6,acc-2,glr-1,,avr-15,,,,,,
RIAR,glr-2,glr-3,glr-6,acc-2,glr-1,,avr-15,,,,,,
RIBL,acr-16,glr-2,glr-4,unc-29,avr-15,,,,,,,,
RIBR,acr-16,glr-2,glr-4,unc-29,avr-15,,,,,,,,
RICL,glr-5,,,,,,,,,,,,
